Time_Step,LLM_S,LLM_I,LLM_R,SIR_S,SIR_I,SIR_R
0,0.7,0.3,0.0,0.7000000000000001,0.29999999999999993,0.0
1,0.66,0.31,0.03,0.271,0.698,0.031000000000000007
2,0.62,0.3,0.08,0.036,0.861,0.10300000000000001
3,0.55,0.34,0.11,0.004,0.812,0.184
4,0.54,0.34,0.12,0.001,0.73,0.269
5,0.53,0.35,0.12,0.0,0.6569999999999999,0.3430000000000001
6,0.54,0.3,0.16,0.0,0.5740000000000001,0.426
7,0.5,0.34,0.16,0.0,0.513,0.487
8,0.48,0.35,0.17,0.0,0.449,0.5509999999999999
9,0.5,0.35,0.15,0.0,0.39699999999999996,0.603
10,0.5,0.33,0.17,0.0,0.35200000000000004,0.6479999999999999
11,0.5,0.35,0.15,0.0,0.316,0.6839999999999999
12,0.53,0.3,0.17,0.0,0.2899999999999999,0.7100000000000001
13,0.56,0.25,0.19,0.0,0.26599999999999996,0.734
14,0.57,0.24,0.19,0.0,0.23400000000000004,0.766
15,0.53,0.24,0.23,0.0,0.21700000000000003,0.7830000000000001
