ID,A,B,C,D,E,F
1.1,4,4,4,4,4,4
1.2,4,4,4,3,3,3
1.3,4,4,5,5,4,4
1.4,4,4,4,4,4,3
1.5,4,4,5,5,4,4
1.6,4,4,4,4,4,4
1.7,4,4,5,5,4,4
1.8,4,4,5,4,3,3
1.9,4,4,4,4,4,4
1.10,4,4,5,5,4,4
1.11,4,4,4,4,4,4
1.12,4,4,4,4,4,4
1.13,4,4,4,4,4,4
1.14,4,4,5,4,4,4
1.15,4,4,4,4,4,4
1.16,4,4,5,4,4,4
1.17,4,4,4,4,3,3
1.18,4,4,5,4,4,4
1.19,4,4,5,5,4,4
1.20,4,4,4,4,4,4
1.21,4,4,5,5,4,4
1.22,4,4,4,4,4,4
1.23,4,4,4,4,4,4
1.24,4,4,4,4,4,4
1.25,4,4,4,4,4,3
1.26,4,4,4,4,4,4
1.27,4,4,5,4,4,4
1.28,4,4,4,4,3,3
1.29,4,4,4,4,4,4
1.30,4,4,5,4,4,4
0.1,4,4,4,4,4,4
0.2,4,4,5,5,4,4
0.3,4,4,4,4,4,4
0.4,4,4,4,4,4,3
0.5,4,4,4,4,4,3
0.6,4,4,4,4,4,3
0.7,4,4,4,4,4,4
0.8,4,4,4,4,4,4
0.9,4,4,4,4,4,4
0.10,4,4,4,4,4,4
0.11,4,4,4,4,4,3
0.12,4,4,5,5,4,4
0.13,4,4,4,4,4,3
0.14,4,4,4,4,4,3
0.15,4,4,4,4,4,4
0.16,4,4,4,4,3,3
0.17,4,4,4,4,4,4
0.18,4,4,4,4,4,4
0.19,4,4,5,5,4,4
0.20,4,4,4,4,4,3
0.21,4,4,4,4,4,4
0.22,4,4,5,5,4,4
0.23,4,4,4,4,4,4
0.24,4,4,4,4,4,4
0.25,4,4,4,4,4,3
0.26,4,4,5,5,4,4
0.27,4,4,4,4,4,4
0.28,3,4,4,4,3,3
0.29,4,4,4,4,3,3
0.30,4,4,4,4,4,4
