ID,A,B,C,D,E,F
1.1,4,4,4,4,4,3
1.2,3,3,4,3,3,2
1.3,3,4,4,4,3,3
1.4,3,3,4,3,3,2
1.5,3,2,3,3,3,2
1.6,3,3,4,3,3,2
1.7,4,4,4,4,3,3
1.8,3,3,4,2,3,2
1.9,3,2,3,2,2,2
1.1,4,4,4,4,3,3
1.11,4,3,4,3,3,2
1.12,3,3,4,3,3,2
1.13,3,3,4,3,3,2
1.14,4,4,4,4,4,3
1.15,3,3,4,3,3,2
1.16,3,3,4,2,3,2
1.17,4,3,4,3,3,2
1.18,4,4,4,3,3,3
1.19,3,3,4,3,3,2
1.2,4,4,4,3,3,3
1.21,3,3,4,2,2,2
1.22,4,3,4,2,3,2
1.23,4,3,4,3,3,2
1.24,4,3,4,3,3,2
1.25,4,3,4,3,3,2
1.26,4,4,4,3,3,3
1.27,4,3,4,2,3,2
1.28,4,3,4,2,3,2
1.29,4,4,4,3,3,3
1.3,4,4,4,3,3,3
0.1,3,3,4,3,3,2
0.2,4,4,4,4,3,3
0.3,3,3,4,3,3,2
0.4,4,3,4,3,3,2
0.5,4,3,4,3,3,2
0.6,3,3,4,3,3,2
0.7,3,3,4,2,3,2
0.8,3,3,4,3,3,2
0.9,4,4,4,3,3,3
0.1,3,3,4,3,3,2
0.11,3,2,3,2,3,2
0.12,4,3,4,3,3,2
0.13,3,3,3,2,2,2
0.14,4,3,4,3,3,2
0.15,4,4,4,3,3,3
0.16,3,3,4,3,3,2
0.17,4,3,4,3,3,2
0.18,4,4,4,4,3,3
0.19,3,3,4,3,3,2
0.2,4,4,4,4,3,3
0.21,3,2,3,2,2,2
0.22,4,3,4,3,3,2
0.23,4,4,4,4,3,3
0.24,3,3,4,3,3,2
0.25,4,3,4,3,3,2
0.26,3,2,3,2,2,2
0.27,3,3,4,3,3,2
0.28,3,2,3,2,2,2
0.29,4,3,4,3,3,2
0.3,4,3,4,3,3,2
