用户id,用户名,自我描述,教育背景,开放性,尽责性,外向性,宜人性,神经质,健康观点
0,幸福平安LZK,中医传承人,2,5,7,3,5,3,强调通过按摩特定穴位、饮食调理等方法来维护和改善健康，如搓揉太渊穴增强肺气、按摩飞扬穴缓解腰痛、食用黄花菜改善记忆力等。
1,夏一夫2010,佛学站桩中医三大爱好，吾之幸事！,4,5,7,3,6,3,强调通过佛学修行、站桩练习和中医方法来维护和改善健康。例如，分享通过按摩特定穴位（如万能止疼穴）缓解疼痛，以及食用红枣茶补气血、养皮肤等方法。
2,不想存在的每一天,未填写,3,3,5,3,5,6,用户分享了与自身健康相关的经历，包括拔智齿后的后遗症、体重变化、肺部结节和肺大泡的复查结果等，显示其关注个人健康状况。
3,朱小蛮-,在北京有家月嫂机构，致力于专业月嫂服务。,1,7,5,5,5,2,强调通过专业月嫂服务来维护和改善健康，关注母婴护理和健康管理。
4,清肝解郁,生活要充满正能量,5,6,7,3,5,3,强调中医的重要性，分享中医治疗思路，关注健康管理，倡导通过中医方法维护和改善健康。
5,八零后努力,十年磨一剑！等待中出鞘！,3,5,6,5,7,4,用户关注健康饮食，特别是对L-阿拉伯糖等功能性甜味添加剂的兴趣，分享相关产品和信息，倡导健康生活方式。
6,耳止丶,混邪乐子人什么都看一点。,4,5,3,4,7,5,用户关注社会事件，如医疗事故和校园性侵事件，表达对受害者的同情和对不公行为的愤慨，显示其对社会健康问题的关切。
7,大红矛,互联网科技博主，微博原创视频博主,2,5,5,5,5,5,用户关注食品安全等健康相关话题，强调食品卫生和消费者权益。
8,WSD是我,I am most handsome,5,7,5,7,5,2,用户关注体育运动员，支持全红婵等运动员，可能对健康和运动有积极的态度。
9,W-EST02,未填写,4,5,6,3,5,3,用户关注健康节目，分享健康知识，重视健康管理。
10,朱毅,微博乡村振兴助威团成员,5,7,6,5,5,3,用户强调食品安全和健康饮食，分享食品安全知识，倡导科学理性的健康观念。
11,司马南,司马南，著名学者，时事评论员。,1,7,6,7,4,5,用户关注社会热点话题，强调理性思考和健康的社会心态。
12,sashanana,王道无近功润物细无声，人身难得莫要蹉跎,3,7,5,6,6,1,用户强调中医的多样性，倡导通过针、砭、导引、按跷、汤药等方法协助自愈力，维护和改善健康。
13,家宥乐,每天距离梦想近一点,4,5,5,7,6,5,用户关注教育、科技等领域，强调理性思考和健康的社会心态。
14,廖花花的猫,设计美学博主,5,7,7,5,5,5,用户关注健康饮食和生活方式，分享关于甜味剂、脂肪肝等健康知识，倡导健康的生活习惯。
15,微笑匪兵乙,凡俗不解神仙道，只问术法谁更灵。,4,6,7,4,6,4,用户关注社会热点与动物保护，表达理性批判与同情立场，主张健康的社会心态与价值判断。
16,营养师顾中一,北京营养师协会理事，中国首批科学传播副高职称。,5,5,6,7,5,5,提倡科学营养，强调“行为改变+心理支持”在饮食健康中的作用，主张理性看待食品、补剂与饮食传言。
17,肉包宝宝喵喵,喵喵喵～喵喵喵,4,5,3,7,5,3,偶尔转发养生话题内容，如“好运接接接”、饮食偏好等，未见明确健康科普，侧重情绪调节类“心理健康”暗示内容。
18,Dog丶Yar,吃货 二货,4,3,5,4,4,5,公开表达对亲人患病的无力感，情感浓烈，呈现出较明显的心理压力和情绪波动。
19,悠悠紫云xy,湖北省网络正能量大V，自媒体协会成员，襄阳城市推荐官,2,5,6,5,5,4,关注减肥、体重管理对慢性病防控的作用，认为健康饮食和坚持锻炼能提升生活质量。
20,抹笑江湖,踏遍青山人未老，风景这边独好！,5,3,4,5,4,3,偶有提及身体状态（如“不能喝茶”“饥不可言”），整体表现为轻松随意的健康表达，未形成明确观点输出。
21,雄峙天东_,插过队下过乡，任过公社党委常委、团委书记；扛过枪从过教，任过参谋、教员、科长、处长、部长、主任。,1,5,7,7,6,1,分享高原旅行时因高反引发身体不适的经历，强调“身体有底子才能扛住”，显示其重视健康体魄。
22,鱼翔浅底_鹰击长空,道中之人，人于道中。,3,5,4,7,4,5,用户主要关注军事与时事，对身体健康话题涉及极少，仅在视频或评论中偶尔表达“精神饱满”“状态不错”等感受。
23,忘记过去不愉快a,无（未填写）,2,5,3,5,6,5,用户通过“绿色生活”话题分享养绿植经历，表达出养植物使人平静、治愈的健康情绪调节方式，展现对心理健康与自然疗愈的关注。
24,凤凰涅槃的新家,未填写,2,7,6,7,6,3,用户高度关注日常饮食营养、过敏预防、自然疗愈（如森林浴）等话题，倾向通过科学信息与日常体验结合的方式管理身心健康。
25,best云中漫步,未填写,5,5,5,4,7,4,用户高度关注医学与科普类内容，频繁转发医生关于儿童睡眠、病毒性疾病、饮食与锻炼等健康知识，展现出科学理性与家庭健康管理意识。
26,秦动之11,事实先于价值。,5,7,5,6,5,4,强调充足睡眠与体育锻炼对青少年健康成长的重要性，表达出对身心发展节律的关注。
27,张乾统_43623,Better man,1,5,5,5,5,5,用户参与多个社会健康事件相关投票，如“女子拔错牙后跳楼”“女演员巡演期间缺氧抑郁”等，表达出对心理健康与医疗安全的关注。
28,上海成雨,汽车博主,4,7,7,7,5,3,偶有提及饮食（如咸菜笋丝焖肉面）、身体状态与维权精神健康压力，但健康话题并非常规焦点。
29,廖花花的猫,设计美学博主,5,7,7,6,7,5,用户关注健康饮食和生活方式，分享关于甜味剂、脂肪肝等健康知识，倡导健康的生活习惯
30,我还是不卑不亢,评论区只代表个人观点，禁止犬吠,4,4,4,4,4,4,偶尔分享如“喝汤也会上头”的体感反应等趣味日常，未见系统性健康表达，情绪表达以轻松幽默为主。
31,神灯斌,未填写,4,3,5,5,3,3,未涉及明显健康主题，仅少量生活感受表达，健康观点不明确。
32,顾浩物理治疗师,康复治疗师，PT_Gu,5,6,7,6,5,5,用户持续分享康复、物理治疗知识，普及运动损伤、疼痛管理等话题，倡导专业介入、科学恢复。
33,飞云流星_,《望月》：朗朗乾坤日夜浮，抖身穿越数云丛。菱无力兮水无形，辽远浩渺兮问苍穹！,5,7,6,3,6,5,用户关注大自然、人文精神与传统哲思，偶有提及锻炼、心情调节与生活节律等，强调“心定气顺”的身心状态。
34,jrry86,非正常人类研究中心 研究对象－方肘子,4,6,7,5,3,4,用户关注科技、舆论与医学伦理议题，转发多篇关于疫苗、病毒起源、农业转基因与企业伦理的长文，表达出对生命健康与公共卫生政策的批判性关切。
35,离开头脑觉知当下,“真正的家是你的内心……回到这个真正的家，才没人能抛弃你。”,3,5,4,3,5,5,关注中医气机运行、经络调节与自愈力，如转发关于“一气周流”的锻炼法门，强调通过身体练习与呼吸调节达成内在安定。
36,北京高生,房产博主,5,5,6,5,5,4,在房产话题中偶尔提及居住环境与健康的关系，如“居住舒适度”“采光通风”等，但健康不是其主要输出领域。
37,噗噗大蕾_LEIL,娱乐博主，石凯超话活跃粉丝,4,5,3,6,7,4,日常表达情绪状态（如开心、疲惫）及参加线下演出活动前后的体感，展现对生活节律与情绪变化的关注，未涉及医学健康话题。
38,是李哈哈呦,头像本人（无详细简介）,3,4,3,3,5,3,微博内容以日常转发与轻松娱乐为主，未体现明确健康类信息或相关观点。
39,全丫头的妈咪,未填写,5,6,5,5,5,3,关注中医类账号，如“中医茯苓三两”“中医徐柏杨”，并频繁转发与调理、气血、体质改善相关内容，说明其认可中医调养的日常健康理念。
40,老冷的夏天,未填写,4,6,6,5,7,5,多次提及身体康复经历、疼痛管理和健康知识转化，强调规律生活、锻炼和信念对恢复的积极作用。
41,赤壁小马,来如流水逝如风，何处来兮何所终。 苍茫大海扬帆去，天涯从此各西东。,5,5,5,5,6,4,关注医学话题，围观医生答疑、转评医学争议事件，表达对患者家属的共情，关注疾病发生后的法律责任与心理创伤。
42,好人花花_38935,未填写,3,3,3,5,3,4,经常关注和转发健康科普，如儿童近视防控、心理健康知识等，对相关健康话题比较关心
43,抬头不见_38985,未填写,2,4,5,3,5,3,用户持续转发疾病防治与健康科普内容，尤其关注心血管疾病、慢病管理及高血压等，具有较强的健康意识与传播意愿。
44,五月-辰,没什么做不到，只有想不到！,4,5,5,5,7,3,积极转发北京市12320科普活动内容，重视医疗健康系统和慢性病科普教育，是健康知识的主动传播者。
45,A--Rita,未填写,4,3,7,3,6,4,内容涵盖口腔健康、防雾霾、营养平衡等健康话题，展现出对公共健康知识较强的接受与转发意愿。
46,倩倩花已至,未填写,2,4,3,7,7,3,转发大量图文健康宣传，如高血压防治、冬季保健、预防心脑血管病，关注民众健康水平与实际健康行为。
47,洛阳房产李阿亮,忠于职责，终于信任；为您理想的家领航！精耕洛阳地产四年，有问题欢迎随时咨询。,2,3,7,7,7,7,用户分享父母健康状况与营养问题，表达对父母健康的关心与无力感，强调尽孝与情感支持的重要性。关注老年人治疗顺从性与家庭照护责任。
48,gumogumo,坦然看世界，磊落度人生,4,6,6,3,3,4,用户关注国际事务、法律、医疗伦理等议题，并评论医疗腐败、权力滥用及社会分配问题，表现出对公共健康系统与社会公正的长期关注。
49,啸铁风,山水一程，再不相逢，愿来生不见、不欠、不念。,4,6,5,3,3,5,用户多次关注疾病、医疗伦理、医疗资源分配等社会议题，表达了对疫苗、WHO公信力、医患关系的深入思考与质疑，显示出对健康系统的高度敏感。
50,青青20131029,未填写,4,7,5,3,5,5,用户关注医学影像、医生考核、医疗体制、健康保险制度等内容，体现出较强的健康系统认知和对医学教育的敏感度。
